2012-12-19 09:26:41,655 [12] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2012-12-19 09:27:00,147 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 09:27:00,147 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 09:27:00,604 [12] INFO  Umbraco.Core.PluginManager - [Thread 8] Completed resolution of types of umbraco.MacroEngines.IRazorDataTypeModel, found 15 (took 8ms)
2012-12-19 09:29:42,164 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 11] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 09:29:42,164 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 11] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 09:29:55,509 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 09:29:55,509 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 09:50:37,396 [12] INFO  Umbraco.Web.UmbracoApplication - [Thread 57] Application shutdown. Reason: HostingEnvironment
2012-12-19 11:55:45,022 [12] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2012-12-19 11:55:45,632 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2012-12-19 11:55:45,717 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 82ms)
2012-12-19 11:55:54,773 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 5 (took 9096ms)
2012-12-19 11:55:54,808 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IDataType, found 81 (took 15ms)
2012-12-19 11:55:54,815 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IMacroGuiRendering, found 13 (took 6ms)
2012-12-19 11:55:54,821 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IPackageAction, found 18 (took 6ms)
2012-12-19 11:55:54,826 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 4ms)
2012-12-19 11:55:54,831 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2012-12-19 11:55:54,841 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 5ms)
2012-12-19 11:55:56,559 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2012-12-19 11:55:56,564 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 5ms)
2012-12-19 11:55:56,764 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 15 (took 20ms)
2012-12-19 11:55:58,047 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 78ms)
2012-12-19 11:55:58,186 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 10ms)
2012-12-19 11:55:58,901 [12] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application startup complete (took 13927ms)
2012-12-19 11:56:05,020 [12] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.XsltExtensionAttribute, found 2 (took 34ms)
2012-12-19 11:56:05,310 [12] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 3 (took 17ms)
2012-12-19 11:56:06,577 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 9] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 11:56:06,577 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 9] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 11:56:07,186 [12] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.MacroEngines.IRazorDataTypeModel, found 15 (took 6ms)
2012-12-19 11:59:10,767 [12] INFO  Umbraco.Core.PluginManager - [Thread 14] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 7ms)
2012-12-19 11:59:10,772 [12] INFO  Umbraco.Core.PluginManager - [Thread 14] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 0ms)
2012-12-19 11:59:10,911 [12] INFO  Umbraco.Core.PluginManager - [Thread 14] Completed resolution of types of umbraco.interfaces.ITree, found 40 (took 4ms)
2012-12-19 12:04:54,031 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 13] Couldn't find any page with nodeId=0. This is most likely caused by the page not being published.
2012-12-19 12:04:54,031 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 13] Couldn't find any page with nodeId=0. This is most likely caused by the page not being published.
2012-12-19 12:04:54,222 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 13] Couldn't find any page with nodeId=0. This is most likely caused by the page not being published.
2012-12-19 12:04:58,798 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 28] Couldn't find any page with nodeId=0. This is most likely caused by the page not being published.
2012-12-19 12:04:58,798 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 28] Couldn't find any page with nodeId=0. This is most likely caused by the page not being published.
2012-12-19 12:04:58,798 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 28] Couldn't find any page with nodeId=0. This is most likely caused by the page not being published.
2012-12-19 12:07:22,476 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 21] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:07:22,476 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 21] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:08:00,465 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 27] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:08:00,465 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 27] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:08:03,751 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 17] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:08:03,751 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 17] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:08:24,614 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 21] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:08:24,614 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 21] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:09:48,028 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 49] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:09:48,028 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 49] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:09:51,788 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 45] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:09:51,788 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 45] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:11:16,899 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 49] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:11:16,899 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 49] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:22:18,097 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:22:18,097 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:22:50,215 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 14] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:22:50,215 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 14] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:22:59,568 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 51] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:22:59,568 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 51] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:23:17,708 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:23:17,708 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 8] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:23:32,860 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:23:32,860 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:23:42,735 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:23:42,735 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:23:54,560 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 37] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:23:54,560 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 37] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:24:00,172 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 37] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:24:00,173 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 37] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:24:18,768 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 44] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:24:18,768 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 44] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:24:26,967 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 14] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:24:26,967 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 14] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:24:40,342 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:24:40,342 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:25:15,841 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:25:15,841 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:25:29,021 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:25:29,021 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:25:50,523 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 57] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:25:50,524 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 57] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:26:00,559 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 57] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:26:00,559 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 57] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:26:08,075 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 52] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:26:08,075 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 52] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:26:23,892 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 50] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:26:23,892 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 50] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:26:29,962 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:26:29,962 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:26:42,186 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:26:42,186 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:27:08,424 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 40] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:27:08,424 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 40] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:27:16,956 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 46] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:27:16,956 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 46] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:27:20,219 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:27:20,219 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 54] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:27:40,519 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:27:40,519 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:28:38,408 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 34] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:28:38,408 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 34] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:28:53,672 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 49] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:28:53,672 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 49] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:29:18,606 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 34] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:29:18,607 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 34] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:29:29,923 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:29:29,923 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:29:39,782 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:29:39,783 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:29:53,878 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:29:53,878 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 39] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:30:03,985 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:30:03,986 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:30:27,777 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:30:27,777 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:30:37,619 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 41] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:30:37,619 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 41] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:30:47,152 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:30:47,152 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 43] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:30:57,771 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 59] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:30:57,771 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 59] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:31:05,996 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 60] Couldn't find any page with nodeId=1152. This is most likely caused by the page not being published.
2012-12-19 12:31:05,996 [12] WARN  Umbraco.Web.Routing.NiceUrlProvider - [Thread 60] Couldn't find any page with nodeId=1074. This is most likely caused by the page not being published.
2012-12-19 12:51:47,299 [12] INFO  Umbraco.Web.UmbracoApplication - [Thread 47] Application shutdown. Reason: HostingEnvironment
